,Domain,Verdict,Entropy,Vowel,Consonant,Length,VN,VowelConsRatio,EntropyLength,CountNum,ngram2ScoreLegit,ngram3ScoreLegit,ngram4ScoreLegit,ngram5ScoreLegit,ngramTotalScoreLegit,ngram2ScoreDGA,ngram3ScoreDGA,ngram4ScoreDGA,ngram5ScoreDGA,ngramTotalScoreDGA
2585,kkwneyeoya.info,dga,2.72193,4,6,10,1,0.66667,0.27219,0,0,0,0,0,0,1,0,1,0,2
3431,laguenak.com,legit,2.75,4,4,8,0,1.0,0.34375,0,1,0,0,0,1,2,0,0,0,2
4313,badensports.com,legit,3.27761,3,8,11,0,0.375,0.29796,0,2,0,0,0,2,4,0,0,0,4
2886,spokt.com,legit,2.32193,1,4,5,0,0.25,0.46439,0,0,0,0,0,0,0,0,0,0,0
3165,ezwkzulkna.com,dga,2.92193,3,7,10,1,0.42857,0.29219,0,0,0,0,0,0,0,0,0,0,0
3995,food.ba,legit,1.5,2,2,4,0,1.0,0.375,0,1,0,0,0,1,0,0,0,0,0
3322,sedakiloverdi.site,legit,3.2389,6,7,13,0,0.85714,0.24915,0,4,0,0,0,4,4,2,0,0,6
4492,buntang.xyz,legit,2.52164,2,5,7,0,0.4,0.36023,0,2,0,0,0,2,2,0,0,0,2
2074,tvobgyn.com,legit,2.80735,1,6,7,0,0.16667,0.40105,0,0,0,0,0,0,0,0,0,0,0
3436,kyoqc59hsjrgrd40p22m29jzbqo51bwo51kxn50.biz,dga,4.42618,3,22,39,1,0.13636,0.11349,14,0,0,0,0,0,0,0,0,0,0
406,shareasale.com,legit,2.44644,5,5,10,0,1.0,0.24464,0,3,0,0,0,3,5,0,0,0,5
3211,oekhjwihesi.yi.org,dga,3.18201,6,7,14,1,0.85714,0.22729,0,1,0,0,0,1,2,0,0,0,2
4959,naholdota.com,dga,2.72548,4,5,9,1,0.8,0.30283,0,1,0,0,0,1,1,0,0,0,1
3463,webinterpret.com,legit,2.85539,4,8,12,0,0.5,0.23795,0,6,0,0,0,6,5,1,1,0,7
1226,vogonlabs.ca,legit,2.9477,3,6,9,0,0.5,0.32752,0,1,0,0,0,1,2,0,0,0,2
2908,urbancinefile.com.au,legit,3.61687,7,9,17,0,0.77778,0.21276,0,5,2,1,1,9,6,3,1,0,10
2011,huodsiwoo.ddns.net,dga,2.98523,5,8,14,1,0.625,0.21323,0,4,1,0,0,5,5,4,3,2,14
727,blogtalkradio.com,legit,3.2389,5,8,13,0,0.625,0.24915,0,4,0,0,0,4,2,0,0,0,2
1720,perdocendimaledictus.com,dga,3.64644,8,12,20,1,0.66667,0.18232,0,8,0,0,0,8,8,0,0,0,8
3360,casinouk.online,legit,3.0,4,4,8,0,1.0,0.375,0,2,0,0,0,2,4,0,0,0,4
4345,bcycxxcjmhmvi.net,dga,3.02699,1,12,13,1,0.08333,0.23285,0,0,0,0,0,0,0,0,0,0,0
195,myspace.com,legit,2.80735,2,5,7,0,0.4,0.40105,0,1,0,0,0,1,2,0,0,0,2
2731,xghufkunnf.dynserv.com,dga,3.68354,3,14,18,1,0.21429,0.20464,0,3,1,1,0,5,4,5,5,4,18
1944,vuclpwdttkjr.info,dga,3.4183,1,11,12,1,0.09091,0.28486,0,0,0,0,0,0,0,0,0,0,0
324,houzz.com,legit,1.92193,2,3,5,0,0.66667,0.38439,0,1,0,0,0,1,0,0,0,0,0
4188,rodoripxsqqojsmw.biz,dga,3.32782,4,12,16,1,0.33333,0.20799,0,1,1,0,0,2,2,0,0,0,2
4952,sedpentextnossremissio.com,dga,3.20445,8,14,22,1,0.57143,0.14566,0,7,1,0,0,8,9,1,0,0,10
731,0.gravatar.com,legit,2.64644,3,5,10,0,0.6,0.26464,1,3,0,0,0,3,4,0,0,0,4
4523,swsjidcbimtw.pw,dga,3.08496,2,10,12,1,0.2,0.25708,0,0,0,0,0,0,0,0,0,0,0
3895,medivere.de,legit,2.40564,4,4,8,0,1.0,0.3007,0,3,0,0,0,3,4,2,0,0,6
3959,totallyfreeclub.com,legit,3.32323,5,10,15,0,0.5,0.22155,0,2,0,0,0,2,3,0,0,0,3
976,cdbaby.com,legit,2.25163,1,5,6,0,0.2,0.37527,0,1,0,0,0,1,0,0,0,0,0
2491,o21hzivjsoyhsetdqbzlsawl68p22d20ivnv.com,dga,4.35021,6,22,36,1,0.27273,0.12084,8,1,0,0,0,1,2,0,0,0,2
3847,dailycdr.com,legit,2.75,2,6,8,0,0.33333,0.34375,0,1,0,0,0,1,0,0,0,0,0
380,boardgamegeek.com,legit,3.02699,6,7,13,0,0.85714,0.23285,0,2,0,0,0,2,3,0,0,0,3
893,google.be,legit,1.9183,3,3,6,0,1.0,0.31972,0,2,4,3,2,11,1,0,0,0,1
956,blogs.adobe.com,legit,3.0958,4,6,11,0,0.66667,0.28144,0,4,0,0,0,4,1,0,0,0,1
4955,ujpne2g6zcijhumvbk.cn,dga,3.9477,4,12,18,1,0.33333,0.21932,2,0,0,0,0,0,1,0,0,0,1
3016,a8k6sd1d14gxkbkhkxk.ddns.net,dga,3.51789,1,17,24,1,0.05882,0.14658,5,2,1,0,0,3,4,3,2,2,11
624,mega.nz,legit,2.0,2,2,4,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0
1462,mayracabrera.wordpress.com,legit,3.38627,7,14,22,0,0.5,0.15392,0,6,0,0,0,6,8,2,0,0,10
1323,8kbjc2rrdwl8aifk6v.com,dga,3.83659,2,12,18,1,0.16667,0.21314,4,0,0,0,0,0,0,0,0,0,0
